Card ID,Owned,Card Name,Set,Series,Release Date,Number,Rarity,Market Price,eBay,Bulbapedia
neo1-17,,Typhlosion,Neo Genesis,Neo,2000/12/16,17,Rare Holo,$320.50,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+Neo+Genesis+17,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+Neo+Genesis+17&ns0=1
neo1-18,,Typhlosion,Neo Genesis,Neo,2000/12/16,18,Rare Holo,$435.00,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+Neo+Genesis+18,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+Neo+Genesis+18&ns0=1
neo1-46,,Quilava,Neo Genesis,Neo,2000/12/16,46,Uncommon,$8.16,https://www.ebay.com/sch/i.html?_nkw=pokemon+Quilava+Neo+Genesis+46,https://bulbapedia.bulbagarden.net/w/index.php?search=Quilava+Neo+Genesis+46&ns0=1
neo1-47,,Quilava,Neo Genesis,Neo,2000/12/16,47,Uncommon,$10.23,https://www.ebay.com/sch/i.html?_nkw=pokemon+Quilava+Neo+Genesis+47,https://bulbapedia.bulbagarden.net/w/index.php?search=Quilava+Neo+Genesis+47&ns0=1
neo1-56,,Cyndaquil,Neo Genesis,Neo,2000/12/16,56,Common,$16.13,https://www.ebay.com/sch/i.html?_nkw=pokemon+Cyndaquil+Neo+Genesis+56,https://bulbapedia.bulbagarden.net/w/index.php?search=Cyndaquil+Neo+Genesis+56&ns0=1
neo1-57,,Cyndaquil,Neo Genesis,Neo,2000/12/16,57,Common,$12.35,https://www.ebay.com/sch/i.html?_nkw=pokemon+Cyndaquil+Neo+Genesis+57,https://bulbapedia.bulbagarden.net/w/index.php?search=Cyndaquil+Neo+Genesis+57&ns0=1
neo4-10,,Dark Typhlosion,Neo Destiny,Neo,2002/02/28,10,Rare Holo,$81.83,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dark+Typhlosion+Neo+Destiny+10,https://bulbapedia.bulbagarden.net/w/index.php?search=Dark+Typhlosion+Neo+Destiny+10&ns0=1
neo4-39,,Dark Quilava,Neo Destiny,Neo,2002/02/28,39,Uncommon,$17.78,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dark+Quilava+Neo+Destiny+39,https://bulbapedia.bulbagarden.net/w/index.php?search=Dark+Quilava+Neo+Destiny+39&ns0=1
neo4-61,,Cyndaquil,Neo Destiny,Neo,2002/02/28,61,Common,$10.25,https://www.ebay.com/sch/i.html?_nkw=pokemon+Cyndaquil+Neo+Destiny+61,https://bulbapedia.bulbagarden.net/w/index.php?search=Cyndaquil+Neo+Destiny+61&ns0=1
ecard1-28,,Typhlosion,Expedition Base Set,E-Card,2002/09/15,28,Rare Holo,$145.66,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+Expedition+Base+Set+28,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+Expedition+Base+Set+28&ns0=1
ecard1-64,,Typhlosion,Expedition Base Set,E-Card,2002/09/15,64,Rare,$57.08,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+Expedition+Base+Set+64,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+Expedition+Base+Set+64&ns0=1
ecard1-65,,Typhlosion,Expedition Base Set,E-Card,2002/09/15,65,Rare,$27.09,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+Expedition+Base+Set+65,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+Expedition+Base+Set+65&ns0=1
ecard1-91,,Quilava,Expedition Base Set,E-Card,2002/09/15,91,Uncommon,$8.24,https://www.ebay.com/sch/i.html?_nkw=pokemon+Quilava+Expedition+Base+Set+91,https://bulbapedia.bulbagarden.net/w/index.php?search=Quilava+Expedition+Base+Set+91&ns0=1
ecard1-104,,Cyndaquil,Expedition Base Set,E-Card,2002/09/15,104,Common,$12.42,https://www.ebay.com/sch/i.html?_nkw=pokemon+Cyndaquil+Expedition+Base+Set+104,https://bulbapedia.bulbagarden.net/w/index.php?search=Cyndaquil+Expedition+Base+Set+104&ns0=1
ecard1-105,,Cyndaquil,Expedition Base Set,E-Card,2002/09/15,105,Common,$11.21,https://www.ebay.com/sch/i.html?_nkw=pokemon+Cyndaquil+Expedition+Base+Set+105,https://bulbapedia.bulbagarden.net/w/index.php?search=Cyndaquil+Expedition+Base+Set+105&ns0=1
ex2-51,,Quilava,Sandstorm,EX,2003/09/18,51,Uncommon,$4.93,https://www.ebay.com/sch/i.html?_nkw=pokemon+Quilava+Sandstorm+51,https://bulbapedia.bulbagarden.net/w/index.php?search=Quilava+Sandstorm+51&ns0=1
ex2-59,,Cyndaquil,Sandstorm,EX,2003/09/18,59,Common,$1.95,https://www.ebay.com/sch/i.html?_nkw=pokemon+Cyndaquil+Sandstorm+59,https://bulbapedia.bulbagarden.net/w/index.php?search=Cyndaquil+Sandstorm+59&ns0=1
ex2-99,,Typhlosion ex,Sandstorm,EX,2003/09/18,99,Rare Holo EX,$156.23,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+ex+Sandstorm+99,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+ex+Sandstorm+99&ns0=1
np-34,,Typhlosion,Nintendo Black Star Promos,NP,2003/10/01,34,Promo,$43.63,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+Nintendo+Black+Star+Promos+34,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+Nintendo+Black+Star+Promos+34&ns0=1
ex5-59,,Cyndaquil,Hidden Legends,EX,2004/06/01,59,Common,$0.75,https://www.ebay.com/sch/i.html?_nkw=pokemon+Cyndaquil+Hidden+Legends+59,https://bulbapedia.bulbagarden.net/w/index.php?search=Cyndaquil+Hidden+Legends+59&ns0=1
ex10-17,,Typhlosion,Unseen Forces,EX,2005/08/01,17,Rare Holo,$99.54,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+Unseen+Forces+17,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+Unseen+Forces+17&ns0=1
ex10-45,,Quilava,Unseen Forces,EX,2005/08/01,45,Uncommon,$1.51,https://www.ebay.com/sch/i.html?_nkw=pokemon+Quilava+Unseen+Forces+45,https://bulbapedia.bulbagarden.net/w/index.php?search=Quilava+Unseen+Forces+45&ns0=1
ex10-54,,Cyndaquil,Unseen Forces,EX,2005/08/01,54,Common,$2.52,https://www.ebay.com/sch/i.html?_nkw=pokemon+Cyndaquil+Unseen+Forces+54,https://bulbapedia.bulbagarden.net/w/index.php?search=Cyndaquil+Unseen+Forces+54&ns0=1
ex10-110,,Typhlosion ex,Unseen Forces,EX,2005/08/01,110,Rare Holo EX,$146.02,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+ex+Unseen+Forces+110,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+ex+Unseen+Forces+110&ns0=1
ex15-12,,Typhlosion δ,Dragon Frontiers,EX,2006/11/01,12,Rare Holo,$61.14,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+%CE%B4+Dragon+Frontiers+12,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+%CE%B4+Dragon+Frontiers+12&ns0=1
ex15-36,,Quilava δ,Dragon Frontiers,EX,2006/11/01,36,Uncommon,$2.82,https://www.ebay.com/sch/i.html?_nkw=pokemon+Quilava+%CE%B4+Dragon+Frontiers+36,https://bulbapedia.bulbagarden.net/w/index.php?search=Quilava+%CE%B4+Dragon+Frontiers+36&ns0=1
ex15-45,,Cyndaquil δ,Dragon Frontiers,EX,2006/11/01,45,Common,$2.62,https://www.ebay.com/sch/i.html?_nkw=pokemon+Cyndaquil+%CE%B4+Dragon+Frontiers+45,https://bulbapedia.bulbagarden.net/w/index.php?search=Cyndaquil+%CE%B4+Dragon+Frontiers+45&ns0=1
dp2-16,,Typhlosion,Mysterious Treasures,Diamond & Pearl,2007/08/01,16,Rare Holo,$37.48,https://www.ebay.com/sch/i.html?_nkw=pokemon+Typhlosion+Mysterious+Treasures+16,https://bulbapedia.bulbagarden.net/w/index.php?search=Typhlosion+Mysterious+Treasures+16&ns0=1
