Card ID,Owned,Card Name,Set,Series,Release Date,Number,Rarity,Market Price,eBay,Bulbapedia
basep-5,,Dragonite,Wizards Black Star Promos,Base,1999/07/01,5,Promo,$69.81,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Wizards+Black+Star+Promos+5,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Wizards+Black+Star+Promos+5&ns0=1
base3-4,,Dragonite,Fossil,Base,1999/10/10,4,Rare Holo,$413.02,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Fossil+4,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Fossil+4&ns0=1
base3-19,,Dragonite,Fossil,Base,1999/10/10,19,Rare,$85.89,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Fossil+19,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Fossil+19&ns0=1
base5-5,,Dark Dragonite,Team Rocket,Base,2000/04/24,5,Rare Holo,$402.41,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dark+Dragonite+Team+Rocket+5,https://bulbapedia.bulbagarden.net/w/index.php?search=Dark+Dragonite+Team+Rocket+5&ns0=1
base5-22,,Dark Dragonite,Team Rocket,Base,2000/04/24,22,Rare,$64.11,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dark+Dragonite+Team+Rocket+22,https://bulbapedia.bulbagarden.net/w/index.php?search=Dark+Dragonite+Team+Rocket+22&ns0=1
neo4-14,,Light Dragonite,Neo Destiny,Neo,2002/02/28,14,Rare Holo,$350.12,https://www.ebay.com/sch/i.html?_nkw=pokemon+Light+Dragonite+Neo+Destiny+14,https://bulbapedia.bulbagarden.net/w/index.php?search=Light+Dragonite+Neo+Destiny+14&ns0=1
base6-5,,Dark Dragonite,Legendary Collection,Other,2002/05/24,5,Rare Holo,$225.69,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dark+Dragonite+Legendary+Collection+5,https://bulbapedia.bulbagarden.net/w/index.php?search=Dark+Dragonite+Legendary+Collection+5&ns0=1
ecard1-9,,Dragonite,Expedition Base Set,E-Card,2002/09/15,9,Rare Holo,$799.69,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Expedition+Base+Set+9,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Expedition+Base+Set+9&ns0=1
ecard1-43,,Dragonite,Expedition Base Set,E-Card,2002/09/15,43,Rare,$70.91,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Expedition+Base+Set+43,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Expedition+Base+Set+43&ns0=1
ex3-90,,Dragonite ex,Dragon,EX,2003/11/24,90,Rare Holo EX,$519.67,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+ex+Dragon+90,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+ex+Dragon+90&ns0=1
ex7-15,,Dark Dragonite,Team Rocket Returns,EX,2004/11/01,15,Rare,$90.41,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dark+Dragonite+Team+Rocket+Returns+15,https://bulbapedia.bulbagarden.net/w/index.php?search=Dark+Dragonite+Team+Rocket+Returns+15&ns0=1
ex11-3,,Dragonite δ,Delta Species,EX,2005/10/31,3,Rare Holo,$207.79,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+%CE%B4+Delta+Species+3,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+%CE%B4+Delta+Species+3&ns0=1
ex15-91,,Dragonite ex δ,Dragon Frontiers,EX,2006/11/01,91,Rare Holo EX,$237.00,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+ex+%CE%B4+Dragon+Frontiers+91,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+ex+%CE%B4+Dragon+Frontiers+91&ns0=1
dp6-2,,Dragonite,Legends Awakened,Diamond & Pearl,2008/08/01,2,Rare Holo,$117.31,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Legends+Awakened+2,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Legends+Awakened+2&ns0=1
pl3-56,,Dragonite FB,Supreme Victors,Platinum,2009/08/19,56,Uncommon,$13.31,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+FB+Supreme+Victors+56,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+FB+Supreme+Victors+56&ns0=1
hgss4-18,,Dragonite,HS—Triumphant,HeartGold & SoulSilver,2010/11/03,18,Rare,$14.59,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+HS%E2%80%94Triumphant+18,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+HS%E2%80%94Triumphant+18&ns0=1
dv1-5,,Dragonite,Dragon Vault,Black & White,2012/10/05,5,Rare Holo,$26.91,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Dragon+Vault+5,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Dragon+Vault+5&ns0=1
