Card ID,Owned,Card Name,Set,Series,Release Date,Number,Rarity,Market Price,eBay,Bulbapedia
neo1-9,,Lugia,Neo Genesis,Neo,2000/12/16,9,Rare Holo,$1599.98,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+Neo+Genesis+9,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+Neo+Genesis+9&ns0=1
neo3-20,,Lugia,Neo Revelation,Neo,2001/09/21,20,Rare,$118.31,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+Neo+Revelation+20,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+Neo+Revelation+20&ns0=1
ecard2-149,,Lugia,Aquapolis,E-Card,2003/01/15,149,Rare Secret,$2225.00,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+Aquapolis+149,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+Aquapolis+149&ns0=1
ex10-29,,Lugia,Unseen Forces,EX,2005/08/01,29,Rare,$18.54,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+Unseen+Forces+29,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+Unseen+Forces+29&ns0=1
ex10-105,,Lugia ex,Unseen Forces,EX,2005/08/01,105,Rare Holo EX,$902.49,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+ex+Unseen+Forces+105,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+ex+Unseen+Forces+105&ns0=1
pop5-2,,Lugia,POP Series 5,POP,2007/03/01,2,Rare,$110.00,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+POP+Series+5+2,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+POP+Series+5+2&ns0=1
dp3-14,,Lugia,Secret Wonders,Diamond & Pearl,2007/11/01,14,Rare Holo,$99.49,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+Secret+Wonders+14,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+Secret+Wonders+14&ns0=1
hsp-HGSS02,,Lugia,HGSS Black Star Promos,HeartGold & SoulSilver,2010/02/10,HGSS02,Promo,$73.43,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+HGSS+Black+Star+Promos+HGSS02,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+HGSS+Black+Star+Promos+HGSS02&ns0=1
hgss1-113,,Lugia LEGEND,HeartGold & SoulSilver,HeartGold & SoulSilver,2010/02/10,113,LEGEND,$261.24,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+LEGEND+HeartGold+%26+SoulSilver+113,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+LEGEND+HeartGold+%26+SoulSilver+113&ns0=1
hgss1-114,,Lugia LEGEND,HeartGold & SoulSilver,HeartGold & SoulSilver,2010/02/10,114,LEGEND,$269.40,https://www.ebay.com/sch/i.html?_nkw=pokemon+Lugia+LEGEND+HeartGold+%26+SoulSilver+114,https://bulbapedia.bulbagarden.net/w/index.php?search=Lugia+LEGEND+HeartGold+%26+SoulSilver+114&ns0=1
